communities,Sc,order_interaction (with Sc),replicates,fraction_sugars_consumed
Sc5,wSc,0,1,0.962595174708819
Sc5,wSc,0,2,0.956317021276596
Sc5,wSc,0,3,0.955891489361702
Sc8,wSc,0,1,0.961347254575707
Sc8,wSc,0,2,0.955593617021277
Sc8,wSc,0,3,0.955465957446808
"Zb;Sp;Ap;Pk;,woSc,4,1,0.309766555740433"
"Zb;Sp;Ap;Pk;,woSc,4,2,0.451508510638298"
"Zb;Sp;Ap;Pk;,woSc,4,3,0.458402127659574"
"Zb;Sp;Ap;Pk;Ap;,woSc,5,1,0.407769883527454"
"Zb;Sp;Ap;Pk;Ap;,woSc,5,2,0.456444680851064"
"Zb;Sp;Ap;Pk;Ap;,woSc,5,3,0.52538085106383"
"Zb;Sp;Ap;Pk;Ap;Sc5,wSc,5,1,0.452112645590682"
"Zb;Sp;Ap;Pk;Ap;Sc5,wSc,5,2,0.482402127659574"
"Zb;Sp;Ap;Pk;Ap;Sc5,wSc,5,3,0.395040425531915"
"Zb;Sp;Ap;Pk;Ap;Sc8,wSc,5,1,0.875698336106489"
"Zb;Sp;Ap;Pk;Ap;Sc8,wSc,5,2,0.885763829787234"
"Zb;Sp;Ap;Pk;Ap;Sc8,wSc,5,3,0.866444680851064"
"Zb;Sp;Ap;Pk;Hop;,woSc,5,1,0.957395507487521"
"Zb;Sp;Ap;Pk;Hop;,woSc,5,2,0.748487234042553"
"Zb;Sp;Ap;Pk;Hop;,woSc,5,3,0.775593617021277"
"Zb;Sp;Ap;Pk;Hop;Sc5,wSc,5,1,0.962470382695507"
"Zb;Sp;Ap;Pk;Hop;Sc5,wSc,5,2,0.955168085106383"
"Zb;Sp;Ap;Pk;Hop;Sc5,wSc,5,3,0.954785106382979"
"Zb;Sp;Ap;Pk;Hop;Sc8,wSc,5,1,0.960806489184692"
"Zb;Sp;Ap;Pk;Hop;Sc8,wSc,5,2,0.95538085106383"
"Zb;Sp;Ap;Pk;Hop;Sc8,wSc,5,3,0.955636170212766"
"Zb;Sp;Ap;Pk;Ku;,woSc,5,1,0.477611813643927"
"Zb;Sp;Ap;Pk;Ku;,woSc,5,2,0.412061702127659"
"Zb;Sp;Ap;Pk;Ku;,woSc,5,3,0.535508510638298"
"Zb;Sp;Ap;Pk;Ku;Sc5,wSc,5,1,0.364966222961731"
"Zb;Sp;Ap;Pk;Ku;Sc5,wSc,5,2,0.385806382978723"
"Zb;Sp;Ap;Pk;Ku;Sc5,wSc,5,3,0.292955319148936"
"Zb;Sp;Ap;Pk;Ku;Sc8,wSc,5,1,0.848909650582363"
"Zb;Sp;Ap;Pk;Ku;Sc8,wSc,5,2,0.832997872340426"
"Zb;Sp;Ap;Pk;Ku;Sc8,wSc,5,3,0.851168085106383"
"Zb;Sp;Ap;Pk;Lt;,woSc,5,1,0.75203"
"Zb;Sp;Ap;Pk;Lt;,woSc,5,2,0.812955319148936"
"Zb;Sp;Ap;Pk;Lt;,woSc,5,3,0.690827659574468"
"Zb;Sp;Ap;Pk;Lt;Sc5,wSc,5,1,0.961388851913478"
"Zb;Sp;Ap;Pk;Lt;Sc5,wSc,5,2,0.955040425531915"
"Zb;Sp;Ap;Pk;Lt;Sc5,wSc,5,3,0.954189361702128"
"Zb;Sp;Ap;Pk;Lt;Sc8,wSc,5,1,0.960931281198003"
"Zb;Sp;Ap;Pk;Lt;Sc8,wSc,5,2,0.956189361702128"
"Zb;Sp;Ap;Pk;Lt;Sc8,wSc,5,3,0.951295744680851"
"Zb;Sp;Ap;Pk;Mp;,woSc,5,1,0.366588519134775"
"Zb;Sp;Ap;Pk;Mp;,woSc,5,2,0.442997872340425"
"Zb;Sp;Ap;Pk;Mp;,woSc,5,3,0.451636170212766"
"Zb;Sp;Ap;Pk;Mp;Sc5,wSc,5,1,0.953194176372712"
"Zb;Sp;Ap;Pk;Mp;Sc5,wSc,5,2,0.953082978723404"
"Zb;Sp;Ap;Pk;Mp;Sc5,wSc,5,3,0.9546"
"Zb;Sp;Ap;Pk;Mp;Sc8,wSc,5,1,0.786846422628952"
"Zb;Sp;Ap;Pk;Mp;Sc8,wSc,5,2,0.802997872340426"
"Zb;Sp;Ap;Pk;Mp;Sc8,wSc,5,3,0.793465957446809"
"Zb;Sp;Ap;Pk;Pk;,woSc,5,1,0.295540266222962"
"Zb;Sp;Ap;Pk;Pk;,woSc,5,2,0.348955319148936"
"Zb;Sp;Ap;Pk;Pk;,woSc,5,3,0.421891489361702"
"Zb;Sp;Ap;Pk;Pk;Sc5,wSc,5,1,0.956979534109817"
"Zb;Sp;Ap;Pk;Pk;Sc5,wSc,5,2,0.95687675"
"Zb;Sp;Ap;Pk;Pk;Sc5,wSc,5,3,0.954997872340426"
"Zb;Sp;Ap;Pk;Pk;Sc8,wSc,5,1,0.795914642262895"
"Zb;Sp;Ap;Pk;Pk;Sc8,wSc,5,2,0.835551063829787"
"Zb;Sp;Ap;Pk;Pk;Sc8,wSc,5,3,0.798827659574468"
"Zb;Sp;Ap;Pk;Sc5,wSc,4,1,0.962345590682196"
"Zb;Sp;Ap;Pk;Sc5,wSc,4,2,0.955636170212766"
"Zb;Sp;Ap;Pk;Sc5,wSc,4,3,0.955423404255319"
"Zb;Sp;Ap;Pk;Sc8,wSc,4,1,0.954525291181364"
"Zb;Sp;Ap;Pk;Sc8,wSc,4,2,0.955508510638298"
"Zb;Sp;Ap;Pk;Sc8,wSc,4,3,0.954572340425532"
"Zb;Sp;Ap;Pk;Sp;,woSc,5,1,0.655232445923461"
"Zb;Sp;Ap;Pk;Sp;,woSc,5,2,0.631210638297872"
"Zb;Sp;Ap;Pk;Sp;,woSc,5,3,0.711508510638298"
"Zb;Sp;Ap;Pk;Sp;Sc5,wSc,5,1,0.961513643926789"
"Zb;Sp;Ap;Pk;Sp;Sc5,wSc,5,2,0.954870212765957"
"Zb;Sp;Ap;Pk;Sp;Sc5,wSc,5,3,0.949976595744681"
"Zb;Sp;Ap;Pk;Sp;Sc8,wSc,5,1,0.95627237936772"
"Zb;Sp;Ap;Pk;Sp;Sc8,wSc,5,2,0.954146808510638"
"Zb;Sp;Ap;Pk;Sp;Sc8,wSc,5,3,0.955806382978723"
"Zb;Sp;Ap;Pk;Td;,woSc,5,1,0.591838103161398"
"Zb;Sp;Ap;Pk;Td;,woSc,5,2,0.582444680851064"
"Zb;Sp;Ap;Pk;Td;,woSc,5,3,0.633125531914894"
"Zb;Sp;Ap;Pk;Td;Sc5,wSc,5,1,0.962012811980033"
"Zb;Sp;Ap;Pk;Td;Sc5,wSc,5,2,0.954657446808511"
"Zb;Sp;Ap;Pk;Td;Sc5,wSc,5,3,0.953423404255319"
"Zb;Sp;Ap;Pk;Td;Sc8,wSc,5,1,0.869541930116473"
"Zb;Sp;Ap;Pk;Td;Sc8,wSc,5,2,0.873636170212766"
"Zb;Sp;Ap;Pk;Td;Sc8,wSc,5,3,0.876487234042553"
"Zb;Sp;Ap;Pk;Wa;,woSc,5,1,0.447786522462562"
"Zb;Sp;Ap;Pk;Wa;,woSc,5,2,0.446912765957447"
"Zb;Sp;Ap;Pk;Wa;,woSc,5,3,0.535423404255319"
"Zb;Sp;Ap;Pk;Wa;Sc5,wSc,5,1,0.961596838602329"
"Zb;Sp;Ap;Pk;Wa;Sc5,wSc,5,2,0.954870212765957"
"Zb;Sp;Ap;Pk;Wa;Sc5,wSc,5,3,0.957040425531915"
"Zb;Sp;Ap;Pk;Wa;Sc8,wSc,5,1,0.947620133111481"
"Zb;Sp;Ap;Pk;Wa;Sc8,wSc,5,2,0.950572340425532"
"Zb;Sp;Ap;Pk;Wa;Sc8,wSc,5,3,0.955763829787234"
"Zb;Sp;Ap;Pk;Zb;,woSc,5,1,0.40951697171381"
"Zb;Sp;Ap;Pk;Zb;,woSc,5,2,0.4967"
"Zb;Sp;Ap;Pk;Zb;,woSc,5,3,0.5887"
"Zb;Sp;Ap;Pk;Zb;Sc5,wSc,5,1,0.961305657237937"
"Zb;Sp;Ap;Pk;Zb;Sc5,wSc,5,2,0.954742553191489"
"Zb;Sp;Ap;Pk;Zb;Sc5,wSc,5,3,0.955295744680851"
"Zb;Sp;Ap;Pk;Zb;Sc8,wSc,5,1,0.961139267886855"
"Zb;Sp;Ap;Pk;Zb;Sc8,wSc,5,2,0.955636170212766"
"Zb;Sp;Ap;Pk;Zb;Sc8,wSc,5,3,0.955891489361702"
"Lt;Wa;Sp;Ap;,woSc,4,1,0.963759900166389"
"Lt;Wa;Sp;Ap;,woSc,4,2,0.9567"
"Lt;Wa;Sp;Ap;,woSc,4,3,0.955082978723404"
"Lt;Wa;Sp;Ap;Ap;,woSc,5,1,0.958518635607321"
"Lt;Wa;Sp;Ap;Ap;,woSc,5,2,0.943465957446809"
"Lt;Wa;Sp;Ap;Ap;,woSc,5,3,0.936827659574468"
"Lt;Wa;Sp;Ap;Ap;Sc5,wSc,5,1,0.962428785357737"
"Lt;Wa;Sp;Ap;Ap;Sc5,wSc,5,2,0.95733829787234"
"Lt;Wa;Sp;Ap;Ap;Sc5,wSc,5,3,0.939848936170213"
"Lt;Wa;Sp;Ap;Ap;Sc8,wSc,5,1,0.959641763727122"
"Lt;Wa;Sp;Ap;Ap;Sc8,wSc,5,2,0.952317021276596"
"Lt;Wa;Sp;Ap;Ap;Sc8,wSc,5,3,0.955508510638298"
"Lt;Wa;Sp;Ap;Hop;,woSc,5,1,0.882977870216306"
"Lt;Wa;Sp;Ap;Hop;,woSc,5,2,0.820317021276596"
"Lt;Wa;Sp;Ap;Hop;,woSc,5,3,0.833848936170213"
"Lt;Wa;Sp;Ap;Hop;Sc5,wSc,5,1,0.96271996672213"
"Lt;Wa;Sp;Ap;Hop;Sc5,wSc,5,2,0.955551063829787"
"Lt;Wa;Sp;Ap;Hop;Sc5,wSc,5,3,0.956614893617021"
"Lt;Wa;Sp;Ap;Hop;Sc8,wSc,5,1,0.962179201331115"
"Lt;Wa;Sp;Ap;Hop;Sc8,wSc,5,2,0.955423404255319"
"Lt;Wa;Sp;Ap;Hop;Sc8,wSc,5,3,0.95606170212766"
"Lt;Wa;Sp;Ap;Ku;,woSc,5,1,0.953110981697171"
"Lt;Wa;Sp;Ap;Ku;,woSc,5,2,0.921551063829787"
"Lt;Wa;Sp;Ap;Ku;,woSc,5,3,0.925806382978723"
"Lt;Wa;Sp;Ap;Ku;Sc5,wSc,5,1,0.961929617304493"
"Lt;Wa;Sp;Ap;Ku;Sc5,wSc,5,2,0.956359574468085"
"Lt;Wa;Sp;Ap;Ku;Sc5,wSc,5,3,0.943806382978723"
"Lt;Wa;Sp;Ap;Ku;Sc8,wSc,5,1,0.95298618968386"
"Lt;Wa;Sp;Ap;Ku;Sc8,wSc,5,2,0.942359574468085"
"Lt;Wa;Sp;Ap;Ku;Sc8,wSc,5,3,0.953848936170213"
"Lt;Wa;Sp;Ap;Lt;,woSc,5,1,0.961180865224626"
"Lt;Wa;Sp;Ap;Lt;,woSc,5,2,0.956274468085106"
"Lt;Wa;Sp;Ap;Lt;,woSc,5,3,0.955721276595745"
"Lt;Wa;Sp;Ap;Lt;Sc5,wSc,5,1,0.960348918469218"
"Lt;Wa;Sp;Ap;Lt;Sc5,wSc,5,2,0.956317021276596"
"Lt;Wa;Sp;Ap;Lt;Sc5,wSc,5,3,0.957295744680851"
"Lt;Wa;Sp;Ap;Lt;Sc8,wSc,5,1,0.96059850249584"
"Lt;Wa;Sp;Ap;Lt;Sc8,wSc,5,2,0.957465957446809"
"Lt;Wa;Sp;Ap;Lt;Sc8,wSc,5,3,0.955976595744681"
"Lt;Wa;Sp;Ap;Mp;,woSc,5,1,0.85618918469218"
"Lt;Wa;Sp;Ap;Mp;,woSc,5,2,0.869848936170213"
"Lt;Wa;Sp;Ap;Mp;,woSc,5,3,0.865295744680851"
"Lt;Wa;Sp;Ap;Mp;Sc5,wSc,5,1,0.962387188019967"
"Lt;Wa;Sp;Ap;Mp;Sc5,wSc,5,2,0.957210638297872"
"Lt;Wa;Sp;Ap;Mp;Sc5,wSc,5,3,0.935678723404255"
"Lt;Wa;Sp;Ap;Mp;Sc8,wSc,5,1,0.933560232945092"
"Lt;Wa;Sp;Ap;Mp;Sc8,wSc,5,2,0.926955319148936"
"Lt;Wa;Sp;Ap;Mp;Sc8,wSc,5,3,0.942402127659575"
"Lt;Wa;Sp;Ap;Pk;,woSc,5,1,0.892462063227953"
"Lt;Wa;Sp;Ap;Pk;,woSc,5,2,0.895721276595745"
"Lt;Wa;Sp;Ap;Pk;,woSc,5,3,0.938359574468085"
"Lt;Wa;Sp;Ap;Pk;Sc5,wSc,5,1,0.962012811980033"
"Lt;Wa;Sp;Ap;Pk;Sc5,wSc,5,2,0.957082978723404"
"Lt;Wa;Sp;Ap;Pk;Sc5,wSc,5,3,0.93201914893617"
"Lt;Wa;Sp;Ap;Pk;Sc8,wSc,5,1,0.94321081530782"
"Lt;Wa;Sp;Ap;Pk;Sc8,wSc,5,2,0.933806382978723"
"Lt;Wa;Sp;Ap;Pk;Sc8,wSc,5,3,0.93333829787234"
"Lt;Wa;Sp;Ap;Sc5,wSc,4,1,0.962844758735441"
"Lt;Wa;Sp;Ap;Sc5,wSc,4,2,0.957210638297872"
"Lt;Wa;Sp;Ap;Sc5,wSc,4,3,0.929508510638298"
"Lt;Wa;Sp;Ap;Sc8,wSc,4,1,0.963510316139767"
"Lt;Wa;Sp;Ap;Sc8,wSc,4,2,0.95533829787234"
"Lt;Wa;Sp;Ap;Sc8,wSc,4,3,0.955508510638298"
"Lt;Wa;Sp;Ap;Sp;,woSc,5,1,0.963135940099834"
"Lt;Wa;Sp;Ap;Sp;,woSc,5,2,0.955721276595745"
"Lt;Wa;Sp;Ap;Sp;,woSc,5,3,0.952657446808511"
"Lt;Wa;Sp;Ap;Sp;Sc5,wSc,5,1,0.962511980033278"
"Lt;Wa;Sp;Ap;Sp;Sc5,wSc,5,2,0.956955319148936"
"Lt;Wa;Sp;Ap;Sp;Sc5,wSc,5,3,0.946785106382979"
"Lt;Wa;Sp;Ap;Sp;Sc8,wSc,5,1,0.962137603993344"
"Lt;Wa;Sp;Ap;Sp;Sc8,wSc,5,2,0.958359574468085"
"Lt;Wa;Sp;Ap;Sp;Sc8,wSc,5,3,0.956274468085106"
"Lt;Wa;Sp;Ap;Td;,woSc,5,1,0.883477038269551"
"Lt;Wa;Sp;Ap;Td;,woSc,5,2,0.888146808510638"
"Lt;Wa;Sp;Ap;Td;,woSc,5,3,0.906870212765957"
"Lt;Wa;Sp;Ap;Td;Sc5,wSc,5,1,0.9627615640599"
"Lt;Wa;Sp;Ap;Td;Sc5,wSc,5,2,0.957040425531915"
"Lt;Wa;Sp;Ap;Td;Sc5,wSc,5,3,0.933423404255319"
"Lt;Wa;Sp;Ap;Td;Sc8,wSc,5,1,0.91604775374376"
"Lt;Wa;Sp;Ap;Td;Sc8,wSc,5,2,0.91201914893617"
"Lt;Wa;Sp;Ap;Td;Sc8,wSc,5,3,0.923465957446809"
"Lt;Wa;Sp;Ap;Wa;,woSc,5,1,0.962886356073211"
"Lt;Wa;Sp;Ap;Wa;,woSc,5,2,0.950529787234042"
"Lt;Wa;Sp;Ap;Wa;,woSc,5,3,0.943253191489362"
"Lt;Wa;Sp;Ap;Wa;Sc5,wSc,5,1,0.962262396006656"
"Lt;Wa;Sp;Ap;Wa;Sc5,wSc,5,2,0.956785106382979"
"Lt;Wa;Sp;Ap;Wa;Sc5,wSc,5,3,0.9547"
"Lt;Wa;Sp;Ap;Wa;Sc8,wSc,5,1,0.962220798668885"
"Lt;Wa;Sp;Ap;Wa;Sc8,wSc,5,2,0.958827659574468"
"Lt;Wa;Sp;Ap;Wa;Sc8,wSc,5,3,0.9567"
"Lt;Wa;Sp;Ap;Zb;,woSc,5,1,0.963052745424293"
"Lt;Wa;Sp;Ap;Zb;,woSc,5,2,0.956402127659574"
"Lt;Wa;Sp;Ap;Zb;,woSc,5,3,0.955678723404255"
"Lt;Wa;Sp;Ap;Zb;Sc5,wSc,5,1,0.962179201331115"
"Lt;Wa;Sp;Ap;Zb;Sc5,wSc,5,2,0.956146808510638"
"Lt;Wa;Sp;Ap;Zb;Sc5,wSc,5,3,0.956231914893617"
"Lt;Wa;Sp;Ap;Zb;Sc8,wSc,5,1,0.961430449251248"
"Lt;Wa;Sp;Ap;Zb;Sc8,wSc,5,2,0.957678723404255"
"Lt;Wa;Sp;Ap;Zb;Sc8,wSc,5,3,0.956529787234043"
Sc5,wSc,0,1,0.962345590682196
Sc5,wSc,0,2,0.956487234042553
Sc5,wSc,0,3,0.928572340425532
Sc8,wSc,0,1,0.963260732113145
Sc8,wSc,0,2,0.95538085106383
Sc8,wSc,0,3,0.955763829787234
"Lt;Hop;Zb;Td;,woSc,4,1,0.898452079866888"
"Lt;Hop;Zb;Td;,woSc,4,2,0.929891489361702"
"Lt;Hop;Zb;Td;,woSc,4,3,0.942487234042553"
"Lt;Hop;Zb;Td;Ap;,woSc,5,1,0.847120965058236"
"Lt;Hop;Zb;Td;Ap;,woSc,5,2,0.829848936170213"
"Lt;Hop;Zb;Td;Ap;,woSc,5,3,0.844785106382979"
"Lt;Hop;Zb;Td;Ap;Sc5,wSc,5,1,0.963718302828619"
"Lt;Hop;Zb;Td;Ap;Sc5,wSc,5,2,0.945465957446808"
"Lt;Hop;Zb;Td;Ap;Sc5,wSc,5,3,0.918146808510638"
"Lt;Hop;Zb;Td;Ap;Sc8,wSc,5,1,0.895873044925125"
"Lt;Hop;Zb;Td;Ap;Sc8,wSc,5,2,0.867040425531915"
"Lt;Hop;Zb;Td;Ap;Sc8,wSc,5,3,0.866529787234043"
"Lt;Hop;Zb;Td;Hop;,woSc,5,1,0.963343926788686"
"Lt;Hop;Zb;Td;Hop;,woSc,5,2,0.9567"
"Lt;Hop;Zb;Td;Hop;,woSc,5,3,0.955040425531915"
"Lt;Hop;Zb;Td;Hop;Sc5,wSc,5,1,0.963011148086522"
"Lt;Hop;Zb;Td;Hop;Sc5,wSc,5,2,0.956870212765957"
"Lt;Hop;Zb;Td;Hop;Sc5,wSc,5,3,0.930444680851064"
"Lt;Hop;Zb;Td;Hop;Sc8,wSc,5,1,0.962553577371048"
"Lt;Hop;Zb;Td;Hop;Sc8,wSc,5,2,0.956274468085106"
"Lt;Hop;Zb;Td;Hop;Sc8,wSc,5,3,0.95601914893617"
"Lt;Hop;Zb;Td;Ku;,woSc,5,1,0.864675041597338"
"Lt;Hop;Zb;Td;Ku;,woSc,5,2,0.852444680851064"
"Lt;Hop;Zb;Td;Ku;,woSc,5,3,0.852955319148936"
"Lt;Hop;Zb;Td;Ku;Sc5,wSc,5,1,0.962428785357737"
"Lt;Hop;Zb;Td;Ku;Sc5,wSc,5,2,0.948912765957447"
"Lt;Hop;Zb;Td;Ku;Sc5,wSc,5,3,0.920359574468085"
"Lt;Hop;Zb;Td;Ku;Sc8,wSc,5,1,0.927528618968386"
"Lt;Hop;Zb;Td;Ku;Sc8,wSc,5,2,0.902870212765957"
"Lt;Hop;Zb;Td;Ku;Sc8,wSc,5,3,0.906274468085106"
"Lt;Hop;Zb;Td;Lt;,woSc,5,1,0.961222462562396"
"Lt;Hop;Zb;Td;Lt;,woSc,5,2,0.956614893617021"
"Lt;Hop;Zb;Td;Lt;,woSc,5,3,0.954955319148936"
"Lt;Hop;Zb;Td;Lt;Sc5,wSc,5,1,0.961804825291181"
"Lt;Hop;Zb;Td;Lt;Sc5,wSc,5,2,0.957465957446809"
"Lt;Hop;Zb;Td;Lt;Sc5,wSc,5,3,0.928742553191489"
"Lt;Hop;Zb;Td;Lt;Sc8,wSc,5,1,0.963177537437604"
"Lt;Hop;Zb;Td;Lt;Sc8,wSc,5,2,0.957210638297872"
"Lt;Hop;Zb;Td;Lt;Sc8,wSc,5,3,0.9567"
"Lt;Hop;Zb;Td;Mp;,woSc,5,1,0.701447088186356"
"Lt;Hop;Zb;Td;Mp;,woSc,5,2,0.719763829787234"
"Lt;Hop;Zb;Td;Mp;,woSc,5,3,0.705636170212766"
"Lt;Hop;Zb;Td;Mp;Sc5,wSc,5,1,0.952653410981697"
"Lt;Hop;Zb;Td;Mp;Sc5,wSc,5,2,0.890614893617021"
"Lt;Hop;Zb;Td;Mp;Sc5,wSc,5,3,0.913253191489362"
"Lt;Hop;Zb;Td;Mp;Sc8,wSc,5,1,0.832769883527454"
"Lt;Hop;Zb;Td;Mp;Sc8,wSc,5,2,0.780529787234043"
"Lt;Hop;Zb;Td;Mp;Sc8,wSc,5,3,0.792487234042553"
"Lt;Hop;Zb;Td;Pk;,woSc,5,1,0.794417138103162"
"Lt;Hop;Zb;Td;Pk;,woSc,5,2,0.834104255319149"
"Lt;Hop;Zb;Td;Pk;,woSc,5,3,0.856402127659574"
"Lt;Hop;Zb;Td;Pk;Sc5,wSc,5,1,0.963926289517471"
"Lt;Hop;Zb;Td;Pk;Sc5,wSc,5,2,0.935465957446808"
"Lt;Hop;Zb;Td;Pk;Sc5,wSc,5,3,0.913168085106383"
"Lt;Hop;Zb;Td;Pk;Sc8,wSc,5,1,0.850365557404326"
"Lt;Hop;Zb;Td;Pk;Sc8,wSc,5,2,0.852657446808511"
"Lt;Hop;Zb;Td;Pk;Sc8,wSc,5,3,0.860146808510638"
"Lt;Hop;Zb;Td;Sc5,wSc,4,1,0.96380149750416"
"Lt;Hop;Zb;Td;Sc5,wSc,4,2,0.934231914893617"
"Lt;Hop;Zb;Td;Sc5,wSc,4,3,0.91138085106383"
"Lt;Hop;Zb;Td;Sc8,wSc,4,1,0.924533610648918"
"Lt;Hop;Zb;Td;Sc8,wSc,4,2,0.924317021276596"
"Lt;Hop;Zb;Td;Sc8,wSc,4,3,0.936487234042553"
"Lt;Hop;Zb;Td;Sp;,woSc,5,1,0.955523627287854"
"Lt;Hop;Zb;Td;Sp;,woSc,5,2,0.928104255319149"
"Lt;Hop;Zb;Td;Sp;,woSc,5,3,0.911976595744681"
"Lt;Hop;Zb;Td;Sp;Sc5,wSc,5,1,0.962387188019967"
"Lt;Hop;Zb;Td;Sp;Sc5,wSc,5,2,0.954785106382979"
"Lt;Hop;Zb;Td;Sp;Sc5,wSc,5,3,0.923678723404255"
"Lt;Hop;Zb;Td;Sp;Sc8,wSc,5,1,0.957437104825291"
"Lt;Hop;Zb;Td;Sp;Sc8,wSc,5,2,0.934402127659574"
"Lt;Hop;Zb;Td;Sp;Sc8,wSc,5,3,0.948317021276596"
"Lt;Hop;Zb;Td;Td;,woSc,5,1,0.844333943427621"
"Lt;Hop;Zb;Td;Td;,woSc,5,2,0.839763829787234"
"Lt;Hop;Zb;Td;Td;,woSc,5,3,0.8647"
"Lt;Hop;Zb;Td;Td;Sc5,wSc,5,1,0.964134276206323"
"Lt;Hop;Zb;Td;Td;Sc5,wSc,5,2,0.937295744680851"
"Lt;Hop;Zb;Td;Td;Sc5,wSc,5,3,0.912231914893617"
"Lt;Hop;Zb;Td;Td;Sc8,wSc,5,1,0.874907986688852"
"Lt;Hop;Zb;Td;Td;Sc8,wSc,5,2,0.850955319148936"
"Lt;Hop;Zb;Td;Td;Sc8,wSc,5,3,0.848742553191489"
"Lt;Hop;Zb;Td;Wa;,woSc,5,1,0.811347254575707"
"Lt;Hop;Zb;Td;Wa;,woSc,5,2,0.764317021276596"
"Lt;Hop;Zb;Td;Wa;,woSc,5,3,0.761934042553192"
"Lt;Hop;Zb;Td;Wa;Sc5,wSc,5,1,0.96059850249584"
"Lt;Hop;Zb;Td;Wa;Sc5,wSc,5,2,0.943806382978723"
"Lt;Hop;Zb;Td;Wa;Sc5,wSc,5,3,0.923678723404255"
"Lt;Hop;Zb;Td;Wa;Sc8,wSc,5,1,0.906896339434276"
"Lt;Hop;Zb;Td;Wa;Sc8,wSc,5,2,0.877636170212766"
"Lt;Hop;Zb;Td;Wa;Sc8,wSc,5,3,0.913636170212766"
"Lt;Hop;Zb;Td;Zb;,woSc,5,1,0.964383860232945"
"Lt;Hop;Zb;Td;Zb;,woSc,5,2,0.955040425531915"
"Lt;Hop;Zb;Td;Zb;,woSc,5,3,0.934742553191489"
"Lt;Hop;Zb;Td;Zb;Sc5,wSc,5,1,0.962428785357737"
"Lt;Hop;Zb;Td;Zb;Sc5,wSc,5,2,0.957508510638298"
"Lt;Hop;Zb;Td;Zb;Sc5,wSc,5,3,0.928657446808511"
"Lt;Hop;Zb;Td;Zb;Sc8,wSc,5,1,0.963427121464226"
"Lt;Hop;Zb;Td;Zb;Sc8,wSc,5,2,0.956742553191489"
